"Username","Employee Id","Badge Id","Employee External Id","EIN Tax Id","EIN Name","Pay Date","In Date","Time In","Time Out","Total Time","Piece Quantity","Time Zone","Override","Time Off","Cost Center 1","Cost Center 2","Cost Center 3","Cost Center 4","Cost Center 5","Custom 1","Custom 2","Custom 3","Custom 4","Custom 5","Rate Override 1","Rate Override 2","Rate Override 3","Rate Override 4","Rate Override 5","Shift","PieceRate Override 1","Piece Rate Override 2","Piece Rate Override 3","Piece Rate Override 4","Piece Rate Override 5","Pay Category","Reason Code In","Reason Code Out","Note"
"","14570","","","","","12/26/2020","","","","7:12","","","","","30","Regular","PW#0264","","","","4,262","2,397","12","","","","","","","","","","","","","","","",""
"","14570","","","","","12/26/2020","","","","","149","","","","30","JSA","PW#0264","","","PIGGLY WIGGLY #264","","","","","","","","","","","","","","","","","","",""
"","14601","","","","","12/26/2020","","","","7:28","","","","","30","Regular","PW#0264","","","","8,044","3,513","8","","","","","","","","","","","","","","","",""
"","14601","","","","","12/26/2020","","","","","149","","","","30","JSA","PW#0264","","","PIGGLY WIGGLY #264","","","","","","","","","","","","","","","","","","",""
"","14919","","","","","12/26/2020","","","","7:17","","","","","30","Regular","PW#0264","","","","6,721","2,610","33","","","","","","","","","","","","","","","",""
"","14919","","","","","12/26/2020","","","","","149","","","","30","JSA","PW#0264","","","PIGGLY WIGGLY #264","","","","","","","","","","","","","","","","","","",""
"","14887","","","","","12/26/2020","","","","6:45","","","","","30","Regular","PW#0264","","","","6,419","2,321","41","","","","","","","","","","","","","","","",""
"","14887","","","","","12/26/2020","","","","","149","","","","30","JSA","PW#0264","","","PIGGLY WIGGLY #264","","","","","","","","","","","","","","","","","","",""
"","11807","","","","","12/26/2020","","","","7:26","","","","","30","Regular","PW#0264","","","","5,602","3,027","26","","","","","","","","","","","","","","","",""
"","11807","","","","","12/26/2020","","","","","149","","","","30","JSA","PW#0264","","","PIGGLY WIGGLY #264","","","","","","","","","","","","","","","","","","",""
"","14874","","","","","12/26/2020","","","","7:18","","","","","30","Regular","PW#0264","","","","9,428","4,000","13","","","","","","","","","","","","","","","",""
"","14874","","","","","12/26/2020","","","","","149","","","","30","JSA","PW#0264","","","PIGGLY WIGGLY #264","","","","","","","","","","","","","","","","","","",""
"","13928","","","","","12/26/2020","","","","7:12","","","","","30","Regular","PW#0264","","","","7,499","2,575","27","","","","","","","","","","","","","","","",""
"","13928","","","","","12/26/2020","","","","","149","","","","30","JSA","PW#0264","","","PIGGLY WIGGLY #264","","","","","","","","","","","","","","","","","","",""
"","14851","","","","","12/26/2020","","","","7:31","","","","","30","Regular","PW#0264","","","","8,434","3,641","6","","","","","","","","","","","","","","","",""
"","14851","","","","","12/26/2020","","","","","149","","","","30","JSA","PW#0264","","","PIGGLY WIGGLY #264","","","","","","","","","","","","","","","","","","",""
"","9480","","","","","12/26/2020","","","","7:31","","","","","30","Regular","PW#0264","","","","6,088","3,784","173","","","","","","","","","","","","","","","",""
