"Username","Employee Id","Badge Id","Employee External Id","EIN Tax Id","EIN Name","Pay Date","In Date","Time In","Time Out","Total Time","Piece Quantity","Time Zone","Override","Time Off","Cost Center 1","Cost Center 2","Cost Center 3","Cost Center 4","Cost Center 5","Custom 1","Custom 2","Custom 3","Custom 4","Custom 5","Rate Override 1","Rate Override 2","Rate Override 3","Rate Override 4","Rate Override 5","Shift","PieceRate Override 1","Piece Rate Override 2","Piece Rate Override 3","Piece Rate Override 4","Piece Rate Override 5","Pay Category","Reason Code In","Reason Code Out","Note"
"","10052","","","","","05/31/2021","","","","4:22","","","","","25","Regular","NEWBORN","","","","64,106","6,775","76","","","","","","","","","","","","","","","",""
"","10052","","","","","05/31/2021","","","","2:54","","","","","25","Driving Pay","NEWBORN","","","NEWBORN TRUCK STOP","","","","","","","","","","","","","","","","","","",""
"","14907","","","","","05/31/2021","","","","4:00","","","","","32","Regular","PIGGLYY","","","","8,339","4,680","6","","","","","","","","","","","","","","","",""
"","14907","","","","","05/31/2021","","","","2:00","","","","","32","Driving Pay","PIGGLYY","","","FOOD FOR LESS  #291","","","","","","","","","","","","","","","","","","",""
"","14907","","","","","05/31/2021","","","","","356","","","","32","JSA","PIGGLYY","","","FOOD FOR LESS  #291","","","","","","","","","","","","","","","","","","",""
"","14993","","","","","05/31/2021","","","","4:21","","","","","32","Regular","PIGGLYY","","","","20,966","9,087","22","","","","","","","","","","","","","","","",""
"","14993","","","","","05/31/2021","","","","","501","","","","32","JSA","PIGGLYY","","","FOOD FOR LESS  #291","","","","","","","","","","","","","","","","","","",""
"","13277","","","","","05/31/2021","","","","4:56","","","","","32","Regular","PIGGLYY","","","","35,311","13,332","13","","","","","","","","","","","","","","","",""
"","13277","","","","","05/31/2021","","","","","501","","","","32","JSA","PIGGLYY","","","FOOD FOR LESS  #291","","","","","","","","","","","","","","","","","","",""
"","14538","","","","","05/31/2021","","","","4:11","","","","","32","Regular","PIGGLYY","","","","36,363","17,146","0","","","","","","","","","","","","","","","",""
"","14538","","","","","05/31/2021","","","","3:30","","","","","32","Driving Pay","PIGGLYY","","","FOOD FOR LESS  #291","","","","","","","","","","","","","","","","","","",""
"","14538","","","","","05/31/2021","","","","","266","","","","32","JSA","PIGGLYY","","","FOOD FOR LESS  #291","","","","","","","","","","","","","","","","","","",""
"","14047","","","","","05/31/2021","","","","4:10","","","","","32","Regular","PIGGLYY","","","","11,335","5,228","7","","","","","","","","","","","","","","","",""
"","14047","","","","","05/31/2021","","","","","501","","","","32","JSA","PIGGLYY","","","FOOD FOR LESS  #291","","","","","","","","","","","","","","","","","","",""
"","13698","","","","","05/31/2021","","","","4:17","","","","","32","Regular","PIGGLYY","","","","26,130","12,004","18","","","","","","","","","","","","","","","",""
"","13698","","","","","05/31/2021","","","","","501","","","","32","JSA","PIGGLYY","","","FOOD FOR LESS  #291","","","","","","","","","","","","","","","","","","",""
"","15154","","","","","05/31/2021","","","","4:15","","","","","32","Regular","PIGGLYY","","","","28,357","8,725","14","","","","","","","","","","","","","","","",""
"","15154","","","","","05/31/2021","","","","5:30","","","","","32","Driving Pay","PIGGLYY","","","FOOD FOR LESS  #291","","","","","","","","","","","","","","","","","","",""
"","15154","","","","","05/31/2021","","","","","251","","","","32","JSA","PIGGLYY","","","FOOD FOR LESS  #291","","","","","","","","","","","","","","","","","","",""
"","14806","","","","","05/30/2021","","","","4:14","","","","","25","Regular","BRUC365","","","","15,686","4,386","60","","","","","","","","","","","","","","","",""
"","14806","","","","","05/30/2021","","","","","98","","","","25","JSA","BRUC365","","","BRUCE S FOODLAND #365","","","","","","","","","","","","","","","","","","",""
"","14053","","","","","05/30/2021","","","","4:14","","","","","25","Regular","BRUC365","","","","30,205","10,085","16","","","","","","","","","","","","","","","",""
"","14053","","","","","05/30/2021","","","","","98","","","","25","JSA","BRUC365","","","BRUCE S FOODLAND #365","","","","","","","","","","","","","","","","","","",""
"","14933","","","","","05/30/2021","","","","4:29","","","","","25","Regular","BRUC365","","","","9,065","4,418","128","","","","","","","","","","","","","","","",""
"","14933","","","","","05/30/2021","","","","2:07","","","","","25","Driving Pay","BRUC365","","","BRUCE S FOODLAND #365","","","","","","","","","","","","","","","","","","",""
"","14865","","","","","05/30/2021","","","","4:14","","","","","25","Regular","BRUC365","","","","8,926","2,810","7","","","","","","","","","","","","","","","",""
"","14865","","","","","05/30/2021","","","","","98","","","","25","JSA","BRUC365","","","BRUCE S FOODLAND #365","","","","","","","","","","","","","","","","","","",""
"","11262","","","","","05/30/2021","","","","4:14","","","","","25","Regular","BRUC365","","","","33,615","7,779","0","","","","","","","","","","","","","","","",""
"","11262","","","","","05/30/2021","","","","","98","","","","25","JSA","BRUC365","","","BRUCE S FOODLAND #365","","","","","","","","","","","","","","","","","","",""
"","15057","","","","","05/30/2021","","","","4:14","","","","","25","Regular","BRUC365","","","","23,263","8,175","15","","","","","","","","","","","","","","","",""
"","15057","","","","","05/30/2021","","","","","98","","","","25","JSA","BRUC365","","","BRUCE S FOODLAND #365","","","","","","","","","","","","","","","","","","",""
"","15173","","","","","05/30/2021","","","","4:14","","","","","25","Regular","BRUC365","","","","13,877","3,690","17","","","","","","","","","","","","","","","",""
"","15173","","","","","05/30/2021","","","","","98","","","","25","JSA","BRUC365","","","BRUCE S FOODLAND #365","","","","","","","","","","","","","","","","","","",""
"","14806","","","","","05/30/2021","","","","2:56","","","","","25","Regular","BRUC360","","","","19,897","8,337","0","","","","","","","","","","","","","","","",""
"","14806","","","","","05/30/2021","","","","0:25","","","","","25","Travel Pay","BRUC360","","","BRUCE S FOODLAND #360","","","","","","","","","","","","","","","","","","",""
"","14806","","","","","05/30/2021","","","","","129","","","","25","JSA","BRUC360","","","BRUCE S FOODLAND #360","","","","","","","","","","","","","","","","","","",""
"","14053","","","","","05/30/2021","","","","2:57","","","","","25","Regular","BRUC360","","","","34,222","12,421","0","","","","","","","","","","","","","","","",""
"","14053","","","","","05/30/2021","","","","0:25","","","","","25","Travel Pay","BRUC360","","","BRUCE S FOODLAND #360","","","","","","","","","","","","","","","","","","",""
"","14053","","","","","05/30/2021","","","","","129","","","","25","JSA","BRUC360","","","BRUCE S FOODLAND #360","","","","","","","","","","","","","","","","","","",""
"","14933","","","","","05/30/2021","","","","3:8","","","","","25","Regular","BRUC360","","","","7,974","3,038","70","","","","","","","","","","","","","","","",""
"","14933","","","","","05/30/2021","","","","0:25","","","","","25","Travel Pay","BRUC360","","","BRUCE S FOODLAND #360","","","","","","","","","","","","","","","","","","",""
"","14933","","","","","05/30/2021","","","","","178","","","","25","JSA","BRUC360","","","BRUCE S FOODLAND #360","","","","","","","","","","","","","","","","","","",""
